Product Id,Product Name,Price,Link of the product,Scraped Image Link
442716,Pali Light Brown Wood Dining Bench,$499,https://www.crateandbarrel.com//pali-light-brown-wood-dining-bench/s442716,https://cb.scene7.com/is/image/Crate/PaliBench62inGreySOSSS22/raw/220103133311/pali-light-brown-wood-dining-bench.jpg
486845,Cavett Walnut Wood Frame Bench,$599,https://www.crateandbarrel.com//cavett-walnut-wood-frame-bench/s486845,https://cb.scene7.com/is/image/Crate/CavettBnchTftPrlSOSSF20_3D_1x1/raw/200410170253/cavett-wood-frame-bench.jpg
224595,Amna Leather Bench,$859,https://www.crateandbarrel.com//amna-leather-bench/s224595,https://cb.scene7.com/is/image/Crate/AmnaLthrBenchBlkSOSSS22/raw/220811170408/amna-leather-bench.jpg
676313,Rodin Brown Velvet Bench by Athena Calderone,$899,https://www.crateandbarrel.com//rodin-brown-velvet-bench-by-athena-calderone/s676313,https://cb.scene7.com/is/image/Crate/RodinBenchSOSSF22/raw/220422165923/rodin-bench.jpg
359895,Peyton Storage Bench,$999,https://www.crateandbarrel.com//peyton-storage-bench/s359895,https://cb.scene7.com/is/image/Crate/PeytonStrgBenchSCESOSSF23_3D/raw/230414105411/peyton-storage-bench.jpg
326418,Winston Cane & Oak Wood Upholstered Bench with Back,$2699,https://www.crateandbarrel.com//winston-cane-and-oak-wood-upholstered-bench-with-back/s326418,https://cb.scene7.com/is/image/Crate/WinstonAccentBenchSOSSF22/raw/220901150025/winston-cane-and-oak-wood-upholstered-bench-with-back.jpg
442701,Pali Black Wood Dining Bench,$499,https://www.crateandbarrel.com//pali-black-wood-dining-bench/s442701,https://cb.scene7.com/is/image/Crate/PaliBench62inBlackSOSSS22/raw/211026093651/pali-black-wood-dining-bench.jpg
304744,Leighton Bench,$1349,https://www.crateandbarrel.com//leighton-bench/s304744,https://cb.scene7.com/is/image/Crate/LeightonBenchSOSSF21/raw/210603171024/leighton-bench-set.jpg
588441,Amna Solid Beech Wood Bench Seat with Cushion,$799,https://www.crateandbarrel.com//amna-solid-beech-wood-bench-seat-with-cushion/s588441,https://cb.scene7.com/is/image/Crate/AmnaBnchBrnswckPbblSHS20_1x1/raw/210513143316/amna-bench.jpg
192180,Nash Leather Large Bench with Tray,$1249,https://www.crateandbarrel.com//nash-leather-large-bench-with-tray/s192180,https://cb.scene7.com/is/image/Crate/NashLthLgBenchTrayLognSlatSSS20_1x1/raw/210513143328/nash-leather-large-bench-with-tray.jpg
332539,Cavett Ash Wood Leather Bench,$799,https://www.crateandbarrel.com//cavett-ash-wood-leather-bench/s332539,https://cb.scene7.com/is/image/Crate/CavettLthrBenchAshWdSOSSF21/raw/210824144918/cavett-ashwood-leather-bench.jpg
