Product Id,Product Name,Price,Link of the product,Scraped Image Link
477727,Lounge Chaise,$2249,https://www.crateandbarrel.com//lounge-chaise/s477727,https://cb.scene7.com/is/image/Crate/LoungeChaiseAN3QSSS23_3D/raw/230314093033/lounge-chaise.jpg
304829,Lounge Deep Chaise Lounge,$1599,https://www.crateandbarrel.com//lounge-deep-chaise-lounge/s304829,https://cb.scene7.com/is/image/Crate/LoungeDChaiseTCSOSSS23_3D/raw/221107112745/lounge-deep-chaise-lounge.jpg
538190,Gather Deep Chaise,$1749,https://www.crateandbarrel.com//gather-deep-chaise/s538190,https://cb.scene7.com/is/image/Crate/GatherChaiseICSOSSF20_3D_1x1/raw/200820160647/gather-chaise.jpg
527411,Petrie Leather Midcentury Chaise Lounge,$4199,https://www.crateandbarrel.com//petrie-leather-midcentury-chaise-lounge/s527411,https://cb.scene7.com/is/image/Crate/PetrieLeatherChaiseCarbonSHS18_1x1/raw/230921125717/petrie-leather-chaise-lounge.jpg
538552,Gather Leather Chaise,$3099,https://www.crateandbarrel.com//gather-leather-chaise/s538552,https://cb.scene7.com/is/image/Crate/GatherLthrChaiseLynxSSS20_1x1/raw/200311104543/gather-petite-leather-chaise.jpg
230987,Axis Chaise Lounge,$1749,https://www.crateandbarrel.com//axis-chaise-lounge/s230987,https://cb.scene7.com/is/image/Crate/AxisIIChsDNSOSSF20_3D/raw/210716123953/axis-ii-chaise-lounge.jpg
538901,Gather Deep Leather Chaise,$3199,https://www.crateandbarrel.com//gather-deep-leather-chaise/s538901,https://cb.scene7.com/is/image/Crate/GatherLthrChaiseLynxSSS20_1x1/raw/200311104543/gather-petite-leather-chaise.jpg
237745,Lounge Deep Leather Chaise Lounge Deep,$2599,https://www.crateandbarrel.com//lounge-deep-leather-chaise-lounge-deep/s237745,https://cb.scene7.com/is/image/Crate/LoungIILthrChaiseLvstSmkSdSSS20_1x1/raw/200601095748/lounge-ii-leather-chaise-lounge.jpg
537875,Gather Chaise,$1649,https://www.crateandbarrel.com//gather-chaise/s537875,https://cb.scene7.com/is/image/Crate/GatherPTChaiseMCSOSSF20_3D/raw/200825154501/gather-petite-chaise.jpg
590314,Lounge Chaise,$1549,https://www.crateandbarrel.com//lounge-chaise/s590314,https://cb.scene7.com/is/image/Crate/LoungeChaiseTSSOSSS23_3D/raw/221107112741/lounge-chaise.jpg
228451,Axis Leather Chaise Lounge,$2699,https://www.crateandbarrel.com//axis-leather-chaise-lounge/s228451,https://cb.scene7.com/is/image/Crate/AxisIILthrChaiseSdLibCamelSSF23/raw/230807154007/axis-leather-chaise-lounge.jpg
267435,Lounge Leather Chaise Lounge,$2599,https://www.crateandbarrel.com//lounge-leather-chaise-lounge/s267435,https://cb.scene7.com/is/image/Crate/LoungIILthrChaiseLvstSmkSdSSS20_1x1/raw/200601095748/lounge-ii-leather-chaise-lounge.jpg
526572,Petrie Midcentury Chaise Lounge,$1799,https://www.crateandbarrel.com//petrie-midcentury-chaise-lounge/s526572,https://cb.scene7.com/is/image/Crate/PetrieChaiseJFGSOSSF20_3D/raw/200814122403/petrie-left-arm-midcentury-chaise-lounge.jpg
522296,Axis Left Arm Double Chaise Lounge,$1849,https://www.crateandbarrel.com//axis-left-arm-double-chaise-lounge/s522296,https://cb.scene7.com/is/image/Crate/AxisIILADbChsDNSOSSF20_3D/raw/210716124002/axis-ii-left-arm-double-chaise-lounge.jpg
527409,Petrie Leather Midcentury Daybed,$4299,https://www.crateandbarrel.com//petrie-leather-midcentury-daybed/s527409,https://cb.scene7.com/is/image/Crate/PetrieLeatherDaybedCarbonSHS18_1x1/raw/230921125713/petrie-leather-daybed.jpg
526555,Petrie Midcentury Daybed,$1699,https://www.crateandbarrel.com//petrie-midcentury-daybed/s526555,https://cb.scene7.com/is/image/Crate/PetrieDaybedJFGSOSSF20_3D/raw/200814122405/petrie-midcentury-daybed.jpg
414721,Petrie Velvet Mid-Century Daybed,$2599,https://www.crateandbarrel.com//petrie-velvet-mid-century-daybed/s414721,https://cb.scene7.com/is/image/Crate/PetrieDaybedCOSOSSS23_3D/raw/230127143455/petrie-velvet-mid-century-daybed.jpg
579451,Bedford Daybed with Trundle,$3399,https://www.crateandbarrel.com//bedford-daybed-with-trundle/s579451,https://cb.scene7.com/is/image/Crate/BedfordSlprDybdTrndlSOSSF20_3D_1x1/raw/200715154653/bedford-sleeper-daybed-trundle.jpg
293786,Pacific Daybed with Wood Legs,$1599,https://www.crateandbarrel.com//pacific-daybed-with-wood-legs/s293786,https://cb.scene7.com/is/image/Crate/PacificDaybedBCSOSSS21_3D/raw/220824124624/pacific-daybed-with-wood-legs.jpg
