Product Id,Product Name,Price,Link of the product,Scraped Image Link
0,Vernon Rectangular Natural Coffee Table with Shelf,$84900,https://www.crateandbarrel.com//vernon-large-rectangular-natural-68-pine-wood-coffee-table-with-shelf/s442866,https://cb.scene7.com/is/image/Crate/Vernon68inCoffeeTblNatSOSSS22/raw/220228135406/vernon-rctng-cfetbl-nt-nonfsc.jpg
425086,Troupe Round Pine Coffee Table,$1899,https://www.crateandbarrel.com//troupe-round-pine-coffee-table/s425086,https://cb.scene7.com/is/image/Crate/TroupeRndCoffeeTableSOSSS22/raw/220126171713/troupe-round-coffee-table.jpg
605962,Sassolino Concrete and Burl Wood Coffee Table by Athena Calderone,$1699,https://www.crateandbarrel.com//sassolino-concrete-and-burl-wood-coffee-table-by-athena-calderone/s605962,https://cb.scene7.com/is/image/Crate/SassolinoNestCoffeeTblSOSSF22/raw/220712123327/sassolino-concrete-and-burl-wood-coffee-table-by-athena-calderone.jpg
421072,Pebble White Indoor/Outdoor Concrete Coffee Table by Leanne Ford,$1099,https://www.crateandbarrel.com//pebble-white-indoor-outdoor-concrete-coffee-table-by-leanne-ford/s421072,https://cb.scene7.com/is/image/Crate/PebbleWhiteCoffeeTableSOSSS22/raw/211001143411/pebble-white-concrete-coffee-table-by-leanne-ford.jpg
414312,Homage Round White Oak Wood and Marble Coffee Table,$1299,https://www.crateandbarrel.com//homage-round-white-oak-wood-and-marble-coffee-table/s414312,https://cb.scene7.com/is/image/Crate/HomageCoffeeTableSOSSF22/raw/220323170630/homage-round-white-oak-wood-and-marble-coffee-table.jpg
259126,Tate Walnut Wood Storage Coffee Table,$699,https://www.crateandbarrel.com//tate-walnut-wood-storage-coffee-table/s259126,https://cb.scene7.com/is/image/Crate/TateCoffeeTableWlntSOSSS23_3D/raw/221209090307/tate-walnut-wood-storage-coffee-table.jpg
0,Vernon Rectangular Ebonized Coffee Table with Shelf,$84900,https://www.crateandbarrel.com//vernon-large-rectangular-ebonized-68-pine-wood-coffee-table-with-shelf/s442815,https://cb.scene7.com/is/image/Crate/Vernon68inCoffeeTblEbnzdSOSSS22/raw/211213154654/vernon-rctgl-cftbl-eb-nonfsc.jpg
406029,Fernando Oval Metal Drum Coffee Table,$1299,https://www.crateandbarrel.com//fernando-oval-metal-drum-coffee-table/s406029,https://cb.scene7.com/is/image/Crate/FernandoOvalCoffeeTableSOSSS22/raw/211124124406/fernando-oval-coffee-table.jpg
336379,Dillon Spalted Primavera Round Wood Coffee Table,$1899,https://www.crateandbarrel.com//dillon-spalted-primavera-round-wood-coffee-table/s336379,https://cb.scene7.com/is/image/Crate/HudsonCoffeeTablePrmvrSSS20_1x1/raw/200623154642/dillon-spalted-primavera-round-wood-coffee-table.jpg
143951,Fernando Metal Drum Coffee Table,$899,https://www.crateandbarrel.com//fernando-metal-drum-coffee-table/s143951,https://cb.scene7.com/is/image/Crate/FernandoMetalDrumCoffeeTblSSS20_1x1/raw/200623154646/fernando-metal-drum-coffee-table.jpg
405877,"Terra 68"" Natural White Oak Wood Coffee Table",$1299,https://www.crateandbarrel.com//terra-68-natural-white-oak-wood-coffee-table/s405877,https://cb.scene7.com/is/image/Crate/Terra68inRctCoffeeTblNatSOSSS22/raw/211213154628/terra-68-rctngl-cfe-tbl-natural.jpg
0,Clairemont Round Natural Coffee Table with Shelf,$69900,https://www.crateandbarrel.com//clairemont-36-round-natural-oak-wood-coffee-table-with-shelf/s406312,https://cb.scene7.com/is/image/Crate/Clairemont36RdCffTblNat3QSSS22/raw/220126171628/clairemont-36-rnd-cfetbl-ntrl.jpg
414585,Troupe Square Pine Coffee Table,$1499,https://www.crateandbarrel.com//troupe-square-pine-coffee-table/s414585,https://cb.scene7.com/is/image/Crate/TroupeSquareCoffeeTableSOSSS22/raw/220126171629/troupe-square-coffee-table.jpg
259181,Paramount Grey and White Marble Coffee Table,$2999,https://www.crateandbarrel.com//paramount-grey-and-white-marble-coffee-table/s259181,https://cb.scene7.com/is/image/Crate/ParamountMrblCoffeeTblSOSSS23/raw/230123113240/paramount-grey-and-white-marble-coffee-table.jpg
661787,Nero Oval White Marble Top Coffee Table with Matte White Base,$999,https://www.crateandbarrel.com//nero-oval-white-marble-top-coffee-table-with-matte-white-base/s661787,https://cb.scene7.com/is/image/Crate/NeroOvlCoffeeTblWBSOSSF22_3D/raw/220506105341/nero-white-marble-oval-coffee-table-with-white-base.jpg
157796,Knurl Nesting Coffee Tables Set of Two,$999,https://www.crateandbarrel.com//knurl-nesting-coffee-tables-set-of-two/s157796,https://cb.scene7.com/is/image/Crate/KnurlNestingCoffeeSmAndLgS2SSS20_1x1/raw/200623154644/knurl-nesting-coffee-tables-set-of-two.jpg
254968,Estate Travertine and Metal Rectangular Coffee Table by Jake Arnold,$2199,https://www.crateandbarrel.com//estate-travertine-and-metal-rectangular-coffee-table-by-jake-arnold/s254968,https://cb.scene7.com/is/image/Crate/EstateRecCoffeeTableSOSSS23/raw/230223153239/estate-black-rectangular-coffee-table-by-jake-arnold.jpg
357177,Willy Charcoal Brown Pedestal Coffee Table by Leanne Ford,$999,https://www.crateandbarrel.com//willy-charcoal-brown-pedestal-coffee-table-by-leanne-ford/s357177,https://cb.scene7.com/is/image/Crate/WillyCoffeeTableCharSOSSF21/raw/220309152324/willy-charcoal-pedestal-coffee-table.jpg
