Product Id,Product Name,Price,Link of the product,Scraped Image Link
234179,"Silviano 84"" Iron Console Table",$1499,https://www.crateandbarrel.com//silviano-84-console-table/s234179,https://cb.scene7.com/is/image/Crate/SilvianoConsoleTableSSS20_1x1/raw/200623085949/silviano-84-iron-console-table.jpg
606622,"Valo 72"" Pine Wood Console Table",$1499,https://www.crateandbarrel.com//valo-72-pine-wood-console-table/s606622,https://cb.scene7.com/is/image/Crate/ValoConsoleTable72inSOSSF22/raw/220413132606/valo-72-pine-wood-console-table.jpg
405918,"Terra 72"" Natural White Oak Wood Console Table",$999,https://www.crateandbarrel.com//terra-72-natural-white-oak-wood-console-table/s405918,https://cb.scene7.com/is/image/Crate/Terra72inConsoleTableNatSOSSS22/raw/211119111503/terra-72-console-table-natural.jpg
267944,Intarsia Large Mosaic Teak Wood Console,$1799,https://www.crateandbarrel.com//intarsia-large-mosaic-teak-wood-console/s267944,https://cb.scene7.com/is/image/Crate/IntarsiaConsoleTblNatLrgSOSSS23/raw/220913120400/intarsia-large-mosaic-teak-wood-console.jpg
123246,"Vernon 72"" Natural Pine Wood Storage Console Table",$1399,https://www.crateandbarrel.com//vernon-72-natural-pine-wood-storage-console-table/s123246,https://cb.scene7.com/is/image/Crate/VernonNatCnslTbl72inSOSSF22/raw/220713145458/vernon-natural-72-console-table.jpg
123887,Bomen Black Oak Console Table,$1599,https://www.crateandbarrel.com//bomen-black-oak-console-table/s123887,https://cb.scene7.com/is/image/Crate/BomenConsoleTableSOSSS21/raw/201120153526/bomen-black-oak-console-table.jpg
0,Baja Console Table Natural,$79900,https://www.crateandbarrel.com//baja-natural-oak-72-console-table/s405688,https://cb.scene7.com/is/image/Crate/Baja54inConsoleTblNatSOSSS22/raw/220126171631/Baja54inConsoleTblNatSOSSS22.jpg
666958,Echelon Console Table,$499,https://www.crateandbarrel.com//echelon-console-table/s666958,https://cb.scene7.com/is/image/Crate/EchelonConsoleTblSSS20_1x1/raw/200623085958/echelon-console-table.jpg
669918,"Silviano 60"" Iron Console Table",$1299,https://www.crateandbarrel.com//silviano-60-console-table/s669918,https://cb.scene7.com/is/image/Crate/SilvianoConsoleTable60inchSSS20_1x1/raw/200623090026/silviano-60-iron-console-table.jpg
123321,"Vernon 72"" Ebonized Pine Wood Storage Console Table",$1399,https://www.crateandbarrel.com//vernon-72-ebonized-pine-wood-storage-console-table/s123321,https://cb.scene7.com/is/image/Crate/VernonCharCnslTbl72inSOSSF22/raw/220713145502/vernon-charcoal-72-console-table.jpg
