Product Id,Product Name,Price,Link of the product,Scraped Image Link
447905,Avenue Black C Table,$199,https://www.crateandbarrel.com//avenue-black-c-table/s447905,https://cb.scene7.com/is/image/Crate/AvenueCTableBlackSSS20_1x1/raw/200623085952/avenue-black-c-table.jpg
528188,Fernando Round Accent Table,$299,https://www.crateandbarrel.com//fernando-round-accent-table/s528188,https://cb.scene7.com/is/image/Crate/FernandoAccentTableSSS20_1x1/raw/200623090014/fernando-accent-table.jpg
406044,Vernon Natural Wood Side Table with Drawer,$499,https://www.crateandbarrel.com//vernon-natural-wood-side-table-with-drawer/s406044,https://cb.scene7.com/is/image/Crate/VernonSideTableNatSOSSF23/raw/230411170048/vernon-natural-wood-side-table-with-shelf.jpg
144121,Prost Small Metal Round Drink Table,$159,https://www.crateandbarrel.com//prost-small-metal-round-drink-table/s144121,https://cb.scene7.com/is/image/Crate/ProstMetalDrinkTableSmallSSS20_1x1/raw/200623085952/prost-small-metal-drink-table.jpg
668904,Nero White Marble Round Accent Table,$299,https://www.crateandbarrel.com//nero-white-marble-round-accent-table/s668904,https://cb.scene7.com/is/image/Crate/NeroAccentTableWhiteSSS20_1x1/raw/200623085950/nero-white-marble-accent-table.jpg
400832,Willy White Plaster Pedestal Side Table,$399,https://www.crateandbarrel.com//willy-white-plaster-pedestal-side-table/s400832,https://cb.scene7.com/is/image/Crate/WillyPdstlSideTablePlasterSHS20_1x1/raw/200128170021/willy-pedestal-side-table-plaster.jpg
527025,Echelon C Table,$249,https://www.crateandbarrel.com//echelon-c-table/s527025,https://cb.scene7.com/is/image/Crate/EchelonCTableSSS20_1x1/raw/200623085943/echelon-c-table.jpg
405786,Baja Natural Oak C Table,$399,https://www.crateandbarrel.com//baja-natural-oak-c-table/s405786,https://cb.scene7.com/is/image/Crate/BajaCTableNatSOSSS22/raw/231118055644/baja-c-table-natural.jpg
519855,Nero Black Marble Round Accent Table,$299,https://www.crateandbarrel.com//nero-black-accent-table/s519855,https://cb.scene7.com/is/image/Crate/NeroAccentTableSSS20_1x1/raw/200623085948/nero-black-marble-accent-table.jpg
606016,Sassolino Burl Wood Side Table by Athena Calderone,$599,https://www.crateandbarrel.com//sassolino-burl-wood-side-table-by-athena-calderone/s606016,https://cb.scene7.com/is/image/Crate/SassolinoNestSideTblSOSSF22/raw/220712123331/sassolino-burl-wood-side-table-by-athena-calderone.jpg
421109,Pebble White Indoor/Outdoor Concrete Side Table by Leanne Ford,$499,https://www.crateandbarrel.com//pebble-white-indoor-outdoor-concrete-side-table-by-leanne-ford/s421109,https://cb.scene7.com/is/image/Crate/PebbleWhiteSideTableSOSSS22/raw/211001143358/pebble-white-concrete-side-table-by-leanne-ford.jpg
405890,Terra Natural White Oak Wood Side Table,$499,https://www.crateandbarrel.com//terra-natural-white-oak-wood-side-table/s405890,https://cb.scene7.com/is/image/Crate/TerraSideTableNatSOSSS22/raw/211213154642/terra-side-table-natural.jpg
259199,Clairemont Natural Oak Wood Round End Table with Shelf,$499,https://www.crateandbarrel.com//clairemont-natural-oak-wood-round-end-table-with-shelf/s259199,https://cb.scene7.com/is/image/Crate/ClairemontRdEndTblNatSOSSS23_3D/raw/221116163601/clairemont-natural-wood-round-end-table-with-shelf.jpg
146464,Prost Medium Marble Round Drink Table,$169,https://www.crateandbarrel.com//prost-medium-marble-round-drink-table/s146464,https://cb.scene7.com/is/image/Crate/ProstMarbleDrinkTableMedSSS20_1x1/raw/200623090008/prost-medium-marble-drink-table.jpg
258902,Alexander Walnut Wood Side Table by Jake Arnold,$499,https://www.crateandbarrel.com//alexander-walnut-wood-side-table-by-jake-arnold/s258902,https://cb.scene7.com/is/image/Crate/AlexanderSideTableSOSSS23/raw/220909103243/alexander-wood-side-table-by-jake-arnold.jpg
664431,Relic Oak Pedestal Table by Athena Calderone,$699,https://www.crateandbarrel.com//relic-oak-pedestal-table-by-athena-calderone/s664431,https://cb.scene7.com/is/image/Crate/RelicPedestalSOSSF22/raw/220722140403/relic-oak-pedestal-table-by-athena-calderone.jpg
235343,Winslow Oak Wood Side Table by Jake Arnold,$499,https://www.crateandbarrel.com//winslow-oak-wood-side-table-by-jake-arnold/s235343,https://cb.scene7.com/is/image/Crate/WinslowSideTableSOSSS23/raw/220912100242/winslow-side-table-by-jake-arnold.jpg
357342,Willy Charcoal Brown Round Pedestal Side Table by Leanne Ford,$399,https://www.crateandbarrel.com//willy-charcoal-brown-round-pedestal-side-table-by-leanne-ford/s357342,https://cb.scene7.com/is/image/Crate/WillySideTableCharcoalSOSSF21/raw/220309152317/willy-charcoal-pedestal-side-table.jpg
359526,Vander Natural White Oak Wood Storage End Table,$499,https://www.crateandbarrel.com//vander-natural-white-oak-wood-storage-end-table/s359526,https://cb.scene7.com/is/image/Crate/VanderWoodEndTableNatSOSSF21/raw/210630145324/vander-natural-wood-end-table.jpg
337678,Knurl Nesting Accent Tables Set of Two,$448,https://www.crateandbarrel.com//knurl-nesting-accent-tables-set-of-two/s337678,https://cb.scene7.com/is/image/Crate/KnurlAccentTablesSHS15_1x1/raw/220913132425/knurl-accent-tables-set-of-two.jpg
406061,Vernon Ebonized Wood Side Table with Drawer,$499,https://www.crateandbarrel.com//vernon-ebonized-wood-side-table-with-drawer/s406061,https://cb.scene7.com/is/image/Crate/VernonSideTableEbnzSOSSF23/raw/230411170041/vernon-ebonized-wood-side-table-with-shelf.jpg
605989,La Strana Concrete Tripod Side Table by Athena Calderone,$599,https://www.crateandbarrel.com//la-strana-concrete-tripod-side-table-by-athena-calderone/s605989,https://cb.scene7.com/is/image/Crate/AthenaLaStranaSideTable3QSSF22/raw/220722135055/la-strana-concrete-tripod-side-table-by-athena-calderone.jpg
259203,Cubist Burl End Table,$549,https://www.crateandbarrel.com//cubist-burl-end-table/s259203,https://cb.scene7.com/is/image/Crate/CubistBurlEndTableSOSSS23/raw/230707120258/cubist-burl-end-table.jpg
406005,Oro Natural Walnut Wood Tiered Side Table,$599,https://www.crateandbarrel.com//oro-natural-walnut-wood-tiered-side-table/s406005,https://cb.scene7.com/is/image/Crate/OroSideTableSOSSF23/raw/230628165302/oro-natural-walnut-wood-tiered-side-table.jpg
