Product Id,Product Name,Price,Link of the product,Scraped Image Link
387598,Yukon Pool Table,$6499,https://www.crateandbarrel.com//yukon-pool-table/s387598,https://cb.scene7.com/is/image/Crate/YukonPoolTableSOSSF22_VND/raw/221020123227/yukon-pool-table.jpg
269706,Grey and Walnut Pool Table with Wall Rack and Accessories,$5999,https://www.crateandbarrel.com//grey-and-walnut-pool-table-with-wall-rack-and-accessories/s269706,https://cb.scene7.com/is/image/Crate/WalnutPoolTableGreySSS21_3D/raw/220629154513/walnut-pool-table--grey-felt.jpg
675138,Outdoor Pool Table with Dining Top and Pool Accessories,$8999,https://www.crateandbarrel.com//outdoor-pool-table-with-dining-top-and-pool-accessories/s675138,https://cb.scene7.com/is/image/Crate/OutdoorPoolTableSOSSS22/raw/220127103522/outdoor-pool-table-with-dining-top-and-pool-accessories.jpg
269640,Shuffleboard,$6899,https://www.crateandbarrel.com//shuffleboard/s269640,https://cb.scene7.com/is/image/Crate/ShuffleboardSDSSS21/raw/211025100249/shuffleboard.jpg
269741,"Black and Walnut Pool Table with Wall Rack, Accessories and Table Tennis Kit",$7199,https://www.crateandbarrel.com//black-and-walnut-pool-table-with-wall-rack-accessories-and-table-tennis-kit/s269741,https://cb.scene7.com/is/image/Crate/WalnutPoolTablePPSDSSS21_3D/raw/230714100233/walnut-pool-table-with-table-tennis-kit--grey-felt.jpg
269597,Skee-Ball ® Home Arcade Premium,$5699,https://www.crateandbarrel.com//skee-ball-home-arcade-premium/s269597,https://cb.scene7.com/is/image/Crate/SkeeBallSSS21_VND/raw/210315170722/skee-ball-home-arcade-premium.jpg
510192,Modern Wood Foosball Table,$1199,https://www.crateandbarrel.com//modern-wood-foosball-table/s510192,https://cb.scene7.com/is/image/Crate/FoosballTableSOSSS21/raw/210205114724/fooseball-table.jpg
269612,Air Hockey Table,$999,https://www.crateandbarrel.com//air-hockey-table/s269612,https://cb.scene7.com/is/image/Crate/AirHockeyTableSOSSF20/raw/200626090827/air-hockey-table.jpg
269633,Dartboard,$349,https://www.crateandbarrel.com//dartboard/s269633,https://cb.scene7.com/is/image/Crate/DartBoardSOSSF21/raw/210526111253/dart-board.jpg
269732,Black and Walnut Pool Table with Wall Rack and Accessories,$5999,https://www.crateandbarrel.com//black-and-walnut-pool-table-with-wall-rack-and-accessories/s269732,https://cb.scene7.com/is/image/Crate/WalnutPoolTableBlackSSS21_3D/raw/220629154554/walnut-pool-table--black-felt.jpg
269714,"Grey Walnut Pool Table with Wall Rack, Accessories and Table Tennis Kit",$7199,https://www.crateandbarrel.com//grey-walnut-pool-table-with-wall-rack-accessories-and-table-tennis-kit/s269714,https://cb.scene7.com/is/image/Crate/WalnutPoolTablePPSDSSS21_3D/raw/230714100233/walnut-pool-table-with-table-tennis-kit--grey-felt.jpg
269660,Walnut Pool Table with Wall Rack and Accessories,$5999,https://www.crateandbarrel.com//walnut-pool-table-with-wall-rack-and-accessories/s269660,https://cb.scene7.com/is/image/Crate/WalnutPoolTableSSS21_3D/raw/220629154521/walnut-pool-table--khaki-felt.jpg
269683,"Walnut Pool Table with Wall Rack, Accessories and Table Tennis Kit",$7199,https://www.crateandbarrel.com//walnut-pool-table-with-wall-rack-accessories-and-table-tennis-kit/s269683,https://cb.scene7.com/is/image/Crate/WalnutPoolTablePPSDSSS21_3D/raw/230714100233/walnut-pool-table-with-table-tennis-kit--grey-felt.jpg
