Product Id,Product Name,Price,Link of the product,Scraped Image Link
538120,Halston Tufted Black Leather Ottoman,$799,https://www.crateandbarrel.com//halston-tufted-black-leather-ottoman/s538120,https://cb.scene7.com/is/image/Crate/HalstonOttomanSOSSS23/raw/230307145318/halston-tufted-black-leather-ottoman.jpg
271271,Guest Ottoman by Jake Arnold,$299,https://www.crateandbarrel.com//guest-ottoman-by-jake-arnold/s271271,https://cb.scene7.com/is/image/Crate/GuestOttomanSOSSS23/raw/230112113321/guest-ottoman.jpg
150629,Angolare Ottoman by Athena Calderone,$799,https://www.crateandbarrel.com//angolare-ottoman-by-athena-calderone/s150629,https://cb.scene7.com/is/image/Crate/AngolareBslOttomanSOSSF22/raw/220810162736/angolare-basil-velvet-ottoman-by-athena-calderone.jpg
357744,Martini Small Upholstered Ottoman by Leanne Ford,$299,https://www.crateandbarrel.com//martini-small-upholstered-ottoman-by-leanne-ford/s357744,https://cb.scene7.com/is/image/Crate/MartiniOttomanSOSSF21/raw/210913140534/martini-small-upholstered-ottoman.jpg
108962,Borrego Small Round Ottoman,$299,https://www.crateandbarrel.com//borrego-small-round-ottoman/s108962,https://cb.scene7.com/is/image/Crate/BorregoOttomanSOSSS21/raw/201231134526/borrego-ottoman.jpg
176615,Infiniti Round Storage Ottoman,$849,https://www.crateandbarrel.com//infiniti-round-storage-ottoman/s176615,https://cb.scene7.com/is/image/Crate/InfinitiRndStrgOttSNSOSSS21_3D/raw/210315122441/infiniti-round-storage-ottoman.jpg
414551,Petrie Velvet Mid-Century Ottoman,$999,https://www.crateandbarrel.com//petrie-velvet-mid-century-ottoman/s414551,https://cb.scene7.com/is/image/Crate/PetrieOttomanCOSOSSS23_3D/raw/230127143456/petrie-velvet-mid-century-ottoman.jpg
150586,Angolare Ottoman by Athena Calderone,$799,https://www.crateandbarrel.com//angolare-ottoman-by-athena-calderone/s150586,https://cb.scene7.com/is/image/Crate/AngolareMnkOttomanSOSSF22/raw/220810162738/angolare-mink-velvet-ottoman-by-athena-calderone.jpg
122563,Avondale Wood Leg Ottoman,$699,"https://www.crateandbarrel.com//avondale-wood-leg-ottoman/s122563?oc=1,1832_4,2368",https://cb.scene7.com/is/image/Crate/item_769_111_1832_2368/raw/231203101128/item_769_111_1832_2368.jpg
473451,Lounge Leather Storage Ottoman,$1099,https://www.crateandbarrel.com//lounge-leather-storage-ottoman/s473451,https://cb.scene7.com/is/image/Crate/LoungIILthrStoreOtmnIronSSS23/raw/230217111718/lounge-leather-storage-ottoman.jpg
139997,Barrett II Storage Ottoman,$699,https://www.crateandbarrel.com//barrett-ii-storage-ottoman/s139997,https://cb.scene7.com/is/image/Crate/BarrettIIStgOttmnOCSOSSS22_3D/raw/230906160602/barrett-ii-storage-ottoman.jpg
224610,Amna Leather Ottoman,$929,https://www.crateandbarrel.com//amna-leather-ottoman/s224610,https://cb.scene7.com/is/image/Crate/AmnaLthrOttomanBlkSOSSS22/raw/220811170359/amna-ottoman-leather.jpg
471091,Hague Mid-Century Ottoman,$499,https://www.crateandbarrel.com//hague-mid-century-ottoman/s471091,https://cb.scene7.com/is/image/Crate/HagueOttomanIvorySOSSS22/raw/220505165916/hague-mid-century-ottoman.jpg
476792,"Lounge 32"" Ottoman",$695,https://www.crateandbarrel.com//lounge-32-ottoman/s476792,https://cb.scene7.com/is/image/Crate/LoungeDpOttWCstr32AN3QSSS23_3D/raw/230314093024/lounge-32-ottoman.jpg
176804,Infiniti Oval Storage Ottoman,$1099,https://www.crateandbarrel.com//infiniti-oval-storage-ottoman/s176804,https://cb.scene7.com/is/image/Crate/InfinitiOvlStrgOttSNSOSSS21_3D/raw/210315122455/infiniti-oval-storage-ottoman.jpg
682598,Notch Storage Ottoman,$899,https://www.crateandbarrel.com//notch-storage-ottoman/s682598,https://cb.scene7.com/is/image/Crate/NotchStrgOttomanStmSOSSF20_3D/raw/200824103304/notch-storage-ottoman.jpg
230782,Axis Ottoman,$549,https://www.crateandbarrel.com//axis-ottoman/s230782,https://cb.scene7.com/is/image/Crate/AxisIIOttmnDNSOSSF20_3D/raw/210111085853/axis-ii-ottoman.jpg
676385,L'Enchere Square Wool Ottoman by Athena Calderone,$599,https://www.crateandbarrel.com//lenchere-square-wool-ottoman-by-athena-calderone/s676385,https://cb.scene7.com/is/image/Crate/LEnchereSQOttomanSOSSF22/raw/220307091407/lenchere-square-wool-ottoman-by-athena-calderone.jpg
