Product Id,Product Name,Price,Link of the product,Scraped Image Link
327143,Lounge 2-Piece Sectional Sofa with Left-Arm Chaise,$3598,https://www.crateandbarrel.com//lounge-2-piece-sectional-sofa-with-left-arm-chaise/s327143,https://cb.scene7.com/is/image/Crate/Lounge2RASfLAChsTCSOSSS23_3D/raw/221010161343/lounge-2-piece-sectional-sofa-with-left-arm-chaise.jpg
124159,Wells Leather 2-Piece Chaise Sectional Sofa,$5298,https://www.crateandbarrel.com//wells-leather-2-piece-chaise-sectional-sofa/s124159,https://cb.scene7.com/is/image/Crate/Wells2LAChsRASfCynSOSSF21/raw/230202192329/wells-leather-2-piece-chaise-sectional.jpg
511592,Oceanside Leather 2-Piece Deep-Seat Left-Arm Chaise Sectional Sofa,$6998,https://www.crateandbarrel.com//oceanside-leather-2-piece-deep-seat-left-arm-chaise-sectional-sofa/s511592,https://cb.scene7.com/is/image/Crate/OceansideDLth2LChsRSfStnSOSSF23/raw/230620152344/oceanside-leather-2-piece-deep-seat-left-arm-chaise-sectional-sofa.jpg
183162,Axis 2-Piece Sectional Sofa,$3498,https://www.crateandbarrel.com//axis-2-piece-sectional-sofa/s183162,https://cb.scene7.com/is/image/Crate/AxisII2LChsRAptSfDISOSSS21_3D_1x1/raw/210105090534/axis-ii-2-piece-sectional-sofa.jpg
563207,Barrett II Reversible Chaise Lounger,$2149,https://www.crateandbarrel.com//barrett-ii-reversible-chaise-lounger/s563207,https://cb.scene7.com/is/image/Crate/BarrettLngrGASOSSF20_3D/raw/210520163754/barrett-3-seat-queen-reversible-sleeper-sectional.jpg
344193,Wells 2-Piece Chaise Sectional Sofa with Natural Leg Finish,$3098,https://www.crateandbarrel.com//wells-2-piece-chaise-sectional-sofa-with-natural-leg-finish/s344193,https://cb.scene7.com/is/image/Crate/WellsF2LAChsRASfNCSOSSF21_3D/raw/210621171444/wells-fab-nat-leg-2pc-sctnl-crbn.jpg
122379,Pacific Reversible Lounger with Wood Legs,$2999,https://www.crateandbarrel.com//pacific-reversible-lounger-with-wood-legs/s122379,https://cb.scene7.com/is/image/Crate/PacificRvrsLngrBCSOSSF22_3D/raw/220825135633/pacific-reversible-lounger-with-wood-legs.jpg
539231,Gather Deep 2-Piece Left Arm Chaise Sectional Sofa,$3498,https://www.crateandbarrel.com//gather-deep-2-piece-left-arm-chaise-sectional-sofa/s539231,https://cb.scene7.com/is/image/Crate/Gather2LAChsRASfIMSOSSF20_3D_1x1/raw/200820160702/gather-2-piece-left-arm-chaise-sectional.jpg
504651,Bucktown Modular 4-Piece Sectional Sofa with Ottoman,$4796,https://www.crateandbarrel.com//bucktown-modular-4-piece-sectional-sofa-with-ottoman/s504651,https://cb.scene7.com/is/image/Crate/Bucktown4OtLChALCRChrSOSSF23_3D/raw/230502124525/bucktown-modular-4-piece-sectional-sofa-with-ottoman.jpg
124352,Pacific 2-Piece Leather Left-Arm Chaise Sectional Sofa with Wood Legs,$6798,https://www.crateandbarrel.com//pacific-2-piece-leather-left-arm-chaise-sectional-sofa-with-wood-legs/s124352,https://cb.scene7.com/is/image/Crate/Pacific2LthrLAChsRASfSOSSF22/raw/220624114029/pacific-leather-2pc--la-chs-ra.jpg
122429,Axis Classic 2-Piece Sectional Sofa with Chaise,$3398,https://www.crateandbarrel.com//axis-classic-2-piece-sectional-sofa-with-chaise/s122429,https://cb.scene7.com/is/image/Crate/AxisCls2pLChsRAptSfDISOSSF23_3D/raw/231016114712/axis-classic-2-piece-sectional-with-chaise.jpg
491646,Lounge Leather 2-Piece Left Arm Double Chaise Sectional Sofa,$6448,https://www.crateandbarrel.com//lounge-leather-2-piece-left-arm-double-chaise-sectional-sofa/s491646,https://cb.scene7.com/is/image/Crate/LoungeIILth2PcLADblChasRASofaIronSSS23/raw/230217111719/lounge-leather-2-piece-left-arm-double-chaise-sectional-sofa.jpg
286203,Axis Bench 2-Piece Sectional Sofa,$3498,https://www.crateandbarrel.com//axis-bench-2-piece-sectional-sofa/s286203,https://cb.scene7.com/is/image/Crate/AxisBench2LAChsRASfIPSOSSS21_3D/raw/210412104246/axis-bench-2-piece-sectional-sofa.jpg
504698,Bucktown Modular 6-Piece Sectional Sofa with Ottoman,$6794,https://www.crateandbarrel.com//bucktown-modular-6-piece-sectional-sofa-with-ottoman/s504698,https://cb.scene7.com/is/image/Crate/Bucktown6DbOtLCDALCRCSOSSF23_3D/raw/230502124529/bucktown-modular-6-piece-sectional-sofa-with-ottoman.jpg
503593,Wells Renew Vegan Leather 2-Piece Chaise Sectional Sofa,$5098,https://www.crateandbarrel.com//wells-renew-vegan-leather-2-piece-chaise-sectional-sofa/s503593,https://cb.scene7.com/is/image/Crate/WellsVL2LAChsRASfCmlSOSSF23_3D/raw/230817095415/wells-vegan-silicone-leather-2-piece-chaise-sectional-sofa.jpg
491214,Barrett II Leather 3-Piece Leather Corner Sectional Sofa,$7797,https://www.crateandbarrel.com//barrett-ii-leather-3-piece-leather-corner-sectional-sofa/s491214,https://cb.scene7.com/is/image/Crate/BarrettIILthLRApSfCrnAleSOSSS23/raw/230224145549/barrett-ii-leather-corner-sectional-sofa.jpg
339397,Gather 3-Piece L-Shaped Bench Sectional Sofa,$4677,https://www.crateandbarrel.com//gather-3-piece-l-shaped-bench-sectional-sofa/s339397,https://cb.scene7.com/is/image/Crate/GatherPB3LASfCrnRASf3QSSF21_3D/raw/210623154605/gather-petite-3pc-sectional.jpg
659492,Unwind 5-Piece Slipcovered Sectional Sofa,$6295,https://www.crateandbarrel.com//unwind-5-piece-slipcovered-sectional-sofa/s659492,https://cb.scene7.com/is/image/Crate/Unwind5LChALCCrnALCRCh3QSSS22/raw/220310125347/unwind-5-piece-slipcovered-sectional.jpg
220131,Lounge 3-Piece L-Shaped Sectional Sofa,$5397,https://www.crateandbarrel.com//lounge-3-piece-l-shaped-sectional-sofa/s220131,https://cb.scene7.com/is/image/Crate/Lng3LApSfWgRApSfTS3QSSS23_3D/raw/230314125010/lounge-3-piece-l-shaped-sectional.jpg
285118,Gather 2-Piece Sectional Sofa with Right-Arm Chaise,$3398,https://www.crateandbarrel.com//gather-2-piece-sectional-sofa-with-right-arm-chaise/s285118,https://cb.scene7.com/is/image/Crate/GatherP2LAptSfRAChsIMSOSSF21_3D/raw/210721152512/gather-petite-2-piece-sectional-with-right-arm-chaise.jpg
394383,Willow II Slipcovered 2-Piece Right-Arm Chaise Sectional Sofa,$3798,https://www.crateandbarrel.com//willow-ii-slipcovered-2-piece-right-arm-chaise-sectional-sofa/s394383,https://cb.scene7.com/is/image/Crate/Willow2StSlpRChsLSfSL3QSSS23_3D/raw/230315151542/willow-ii-slipcovered-2-piece-right-arm-chaise-sectional-sofa.jpg
124366,Pacific Deep-Seat 2-Piece Chaise Sectional Sofa with Wood Legs,$3498,https://www.crateandbarrel.com//pacific-deep-seat-2-piece-chaise-sectional-sofa-with-wood-legs/s124366,https://cb.scene7.com/is/image/Crate/PacificD2pLAChsRASfBCSOSSF22_3D/raw/230721150615/pacific-deep-seat-2-piece-chaise-sectional-sofa-with-wood-legs.jpg
131657,Tillery 5-Piece Antigo Natural Fabric Power Sectional Sofa,$6314.83,https://www.crateandbarrel.com//tillery-5-piece-antigo-natural-fabric-power-sectional-sofa/s131657,https://cb.scene7.com/is/image/Crate/Tillery5pANFbPwrSctnlSOSSF23/raw/231106120324/tillery-5-piece-antigo-natural-fabric-power-sectional-sofa.jpg
123183,Cambria Green Velvet 2-Piece Right-Arm Chaise Sectional Sofa,$4898,https://www.crateandbarrel.com//cambria-green-velvet-2-piece-right-arm-chaise-sectional-sofa/s123183,https://cb.scene7.com/is/image/Crate/Cambria2pLASfRAChsOVSOSSF22/raw/220707164413/cambria-velvet-set-1-lasf-rachs.jpg
123601,Timson Green Velvet 2-Piece Left Arm Chaise Sectional Sofa,$3298,https://www.crateandbarrel.com//timson-green-velvet-2-piece-left-arm-chaise-sectional-sofa/s123601,https://cb.scene7.com/is/image/Crate/Timson2pLAChsRASfOOSOSSF22_3D/raw/220610102456/timson-2pc-velvet-lachs-rasf.jpg
511582,Oceanside Leather 2-Piece Deep-Seat Right-Arm Chaise Sectional Sofa,$6998,https://www.crateandbarrel.com//oceanside-leather-2-piece-deep-seat-right-arm-chaise-sectional-sofa/s511582,https://cb.scene7.com/is/image/Crate/OceansideDLth2RChsLSfStnSOSSF23/raw/230620152342/oceanside-leather-2-piece-deep-seat-right-arm-chaise-sectional-sofa.jpg
511608,Oceanside Leather 3-Piece Deep-Seat Corner Sectional Sofa,$9497,https://www.crateandbarrel.com//oceanside-leather-3-piece-deep-seat-corner-sectional-sofa/s511608,https://cb.scene7.com/is/image/Crate/OceansideDLth3LSfCRSfStn3QSSF23/raw/230620152345/oceanside-leather-3-piece-corner-sectional-sofa.jpg
511531,Oceanside Leather 2-Piece Left-Arm Chaise Sectional Sofa,$6798,https://www.crateandbarrel.com//oceanside-leather-2-piece-left-arm-chaise-sectional-sofa/s511531,https://cb.scene7.com/is/image/Crate/OceansideDLth2LChsRSfStnSOSSF23/raw/230620152344/oceanside-leather-2-piece-deep-seat-left-arm-chaise-sectional-sofa.jpg
511527,Oceanside Leather 2-Piece Right-Arm Chaise Sectional Sofa,$6798,https://www.crateandbarrel.com//oceanside-leather-2-piece-right-arm-chaise-sectional-sofa/s511527,https://cb.scene7.com/is/image/Crate/OceansideDLth2RChsLSfStnSOSSF23/raw/230620152342/oceanside-leather-2-piece-deep-seat-right-arm-chaise-sectional-sofa.jpg
511571,Oceanside Leather 3-Piece Corner Sectional Sofa,$9197,https://www.crateandbarrel.com//oceanside-leather-3-piece-corner-sectional-sofa/s511571,https://cb.scene7.com/is/image/Crate/OceansideDLth3LSfCRSfStn3QSSF23/raw/230620152345/oceanside-leather-3-piece-corner-sectional-sofa.jpg
147067,Gather Deep 2-Piece Right-Arm Wide Chaise Sectional Sofa,$3648,https://www.crateandbarrel.com//gather-deep-2-piece-right-arm-wide-chaise-sectional-sofa/s147067,https://cb.scene7.com/is/image/Crate/GatherDp2RChsBchScIMSOSSS22_3D/raw/220412153605/gather-deep-2-piece-right-arm-wide-chaise-sectional-sofa.jpg
146990,Gather Deep 2-Piece Right-Arm Wide Chaise Sectional Sofa,$3648,https://www.crateandbarrel.com//gather-deep-2-piece-right-arm-wide-chaise-sectional-sofa/s146990,https://cb.scene7.com/is/image/Crate/GatherDp2RAWdChsScIMSOSSS22_3D/raw/220412153607/gather-deep-2-piece-right-arm-wide-chaise-sectional-sofa.jpg
146937,Gather Deep 2-Piece Left-Arm Wide Chaise Sectional Sofa,$3648,https://www.crateandbarrel.com//gather-deep-2-piece-left-arm-wide-chaise-sectional-sofa/s146937,https://cb.scene7.com/is/image/Crate/GatherDp2LAWdChsScIMSOSSS22_3D/raw/220412153602/gather-deep-2-piece-left-arm-wide-chaise-sectional-sofa.jpg
580773,Peyton 2-Piece Right-Arm Bumper Sectional Sofa,$3298,https://www.crateandbarrel.com//peyton-2-piece-right-arm-bumper-sectional-sofa/s580773,https://cb.scene7.com/is/image/Crate/Peyton2LSfRCrnBmpSCSOSSS23_3D/raw/230614151413/peyton-2-piece-right-arm-bumper-sectional-sofa.jpg
580766,Peyton 2-Piece Left-Arm Bumper Sectional Sofa,$3298,https://www.crateandbarrel.com//peyton-2-piece-left-arm-bumper-sectional-sofa/s580766,https://cb.scene7.com/is/image/Crate/Peyton2LCrnBmpRSfSCSOSSS23_3D/raw/230614151414/peyton-2-piece-left-arm-bumper-sectional-sofa.jpg
580757,Peyton 3-Piece Sectional Sofa,$4697,https://www.crateandbarrel.com//peyton-3-piece-sectional-sofa/s580757,https://cb.scene7.com/is/image/Crate/Peyton3LCBmALSRCBmSCSOSSS23_3D/raw/230614151417/peyton-3-piece-sectional-sofa.jpg
137794,Willow II Slipcovered Bench Left-Arm Sofa 2-Piece Sectional,$3748,https://www.crateandbarrel.com//willow-ii-slipcovered-bench-left-arm-sofa-2-piece-sectional/s137794,https://cb.scene7.com/is/image/Crate/WillowIISP2LASfRAChsSOSSS22_3D/raw/220412093258/willow-ii-slipcovered-left-arm-sofa-2-piece-sectional.jpg
625464,Barrett II 2-Piece Left Arm Chaise Sectional Sofa,$2599,https://www.crateandbarrel.com//barrett-ii-2-piece-left-arm-chaise-sectional-sofa/s625464,https://cb.scene7.com/is/image/Crate/Barrett2LAChsRAptGASOSSF20_3D_1x1/raw/210520163759/barrett-2-piece-left-arm-chaise-sectional.jpg
625552,Barrett II 2-Piece Right Arm Chaise Sectional Sofa,$2599,https://www.crateandbarrel.com//barrett-ii-2-piece-right-arm-chaise-sectional-sofa/s625552,https://cb.scene7.com/is/image/Crate/Barrett2RAChsLAptGASOSSF20_3D_1x1/raw/210520163808/barrett-2-piece-right-arm-chaise-sectional.jpg
503324,Wells Renew Vegan Leather 2-Piece Chaise Sectional Sofa,$5098,https://www.crateandbarrel.com//wells-renew-vegan-leather-2-piece-chaise-sectional-sofa/s503324,https://cb.scene7.com/is/image/Crate/WellsVL2LAChsRASfCrbSOSSF23_3D/raw/230713104028/wells-vegan-silicone-leather-2-piece-chaise-sectional-sofa.jpg
503526,Wells Renew Vegan Leather 2-Piece Chaise Sectional Sofa,$5098,https://www.crateandbarrel.com//wells-renew-vegan-leather-2-piece-chaise-sectional-sofa/s503526,https://cb.scene7.com/is/image/Crate/WellsVL2LAChsRASfShrSOSSF23_3D/raw/230713104017/wells-vegan-silicone-leather-2-piece-chaise-sectional-sofa.jpg
503392,Wells Renew Vegan Leather 2-Piece Chaise Sectional Sofa,$5098,https://www.crateandbarrel.com//wells-renew-vegan-leather-2-piece-chaise-sectional-sofa/s503392,https://cb.scene7.com/is/image/Crate/WellsVL2LAChsRASfIrnSOSSF23_3D/raw/230713104035/wells-vegan-silicone-leather-2-piece-chaise-sectional-sofa.jpg
659721,Unwind 5-Piece Reversible Slipcovered Sectional Sofa,$5795,https://www.crateandbarrel.com//unwind-5-piece-reversible-slipcovered-sectional-sofa/s659721,https://cb.scene7.com/is/image/Crate/Unwind5OttLCh2ALChRChSOSSS22/raw/220310125349/unwind-otlach2arlschrach.jpg
659543,Unwind 4-Piece Reversible Slipcovered Sectional Sofa,$4696,https://www.crateandbarrel.com//unwind-4-piece-reversible-slipcovered-sectional-sofa/s659543,https://cb.scene7.com/is/image/Crate/Unwind4OttLAChALChRAChSOSSS22/raw/220310125347/unwind-4-piece-reversible-slipcovered-sectional.jpg
327224,Tidal 2-Piece Sectional Sofa with Left-Arm Chaise,$3218,https://www.crateandbarrel.com//tidal-2-piece-sectional-sofa-with-left-arm-chaise/s327224,https://cb.scene7.com/is/image/Crate/Tidal2RSfLChsOsShSOSSS23_3D/raw/230223104306/tidal-2-piece-sectional-sofa-with-left-arm-chaise.jpg
327203,Tidal 2-Piece Sectional Sofa with Right-Arm Chaise,$3218,https://www.crateandbarrel.com//tidal-2-piece-sectional-sofa-with-right-arm-chaise/s327203,https://cb.scene7.com/is/image/Crate/Tidal2LSfRChsOsShSOSSS23_3D/raw/230223104306/tidal-2-piece-sectional-sofa-with-right-arm-chaise.jpg
488918,Hague Mid-Century 2-Piece Left-Arm Chaise Sectional Sofa,$2298,https://www.crateandbarrel.com//hague-mid-century-2-piece-left-arm-chaise-sectional-sofa/s488918,https://cb.scene7.com/is/image/Crate/Hague2LAChsSectIvorySOSSS22/raw/230119094230/hague-2-piece-left-arm-chaise-mid-century-sectional.jpg
681544,Notch Reversible Lounger Sectional Sofa,$2399,https://www.crateandbarrel.com//notch-reversible-lounger-sectional-sofa/s681544,https://cb.scene7.com/is/image/Crate/NotchRvrsblSctStmSOSSF20_3D _1x1/raw/200805163310/notch-reversible-lounger-sectional.jpg
274134,Aris 2-Piece Left-Arm Chaise Sectional Sofa,$2898,https://www.crateandbarrel.com//aris-2-piece-left-arm-chaise-sectional-sofa/s274134,https://cb.scene7.com/is/image/Crate/Aris2LAChsRASfSOSSF21_3D/raw/211130201332/aris-2-piece-left-arm-chaise-sectional.jpg
303768,Lounge Deep 2-Piece Sectional Sofa,$3828,https://www.crateandbarrel.com//lounge-deep-2-piece-sectional-sofa/s303768,https://cb.scene7.com/is/image/Crate/LoungeD2RAChsLASfTCSOSSS23_3D/raw/221020155300/lounge-deep-2-piece-sectional-sofa.jpg
327119,Lounge 2-Piece Sectional Sofa with Right-Arm Chaise,$3598,https://www.crateandbarrel.com//lounge-2-piece-sectional-sofa-with-right-arm-chaise/s327119,https://cb.scene7.com/is/image/Crate/Lounge2LASfRAChsTCSOSSS23_3D/raw/221010161327/lounge-2-piece-sectional-sofa-with-right-arm-chaise.jpg
361318,Oceanside 2-Piece Deep-Seat Left-Arm Chaise Sectional Sofa,$3398,https://www.crateandbarrel.com//oceanside-2-piece-deep-seat-left-arm-chaise-sectional-sofa/s361318,https://cb.scene7.com/is/image/Crate/OceansideD2LAChsRASfSOSSF21_3D/raw/211022134245/oceanside-2-piece-deep-seat-left-arm-chaise-sectional.jpg
361213,Oceanside 2-Piece Deep-Seat Left-Arm Chaise Sectional Sofa,$2948,https://www.crateandbarrel.com//oceanside-2-piece-deep-seat-left-arm-chaise-sectional-sofa/s361213,https://cb.scene7.com/is/image/Crate/OceansideD2LAChsRAChrSOSSF21_3D/raw/220422165920/oceanside-2-piece-deep-seat-left-arm-chaise-sectional.jpg
361369,Oceanside 2-Piece Left-Arm Chaise Sectional Sofa,$3098,https://www.crateandbarrel.com//oceanside-2-piece-left-arm-chaise-sectional-sofa/s361369,https://cb.scene7.com/is/image/Crate/Oceanside2LAChsRASfSOSSF21_3D/raw/211104114321/oceanside-2-piece-left-arm-chaise-sectional.jpg
289953,Wells 2-Piece Chaise Sectional Sofa with Natural Leg Finish,$3098,https://www.crateandbarrel.com//wells-2-piece-chaise-sectional-sofa-with-natural-leg-finish/s289953,https://cb.scene7.com/is/image/Crate/WellsF2LAChsRASfNGSOSSF21_3D/raw/210621171447/wells-fabric-2-pc-sectional.jpg
295455,Avondale Wood Leg 2-Piece Sectional Sofa,$3448,https://www.crateandbarrel.com//avondale-wood-leg-2-piece-sectional-sofa/s295455,https://cb.scene7.com/is/image/Crate/AvondaleWL2LSfRChsTPSOSS21_3D_1x1/raw/210720103302/avondale-wood-leg-2-piece-sectional.jpg
286046,Gather Wood Base 2-Piece Sectional Sofa,$4098,https://www.crateandbarrel.com//gather-wood-base-2-piece-sectional-sofa/s286046,https://cb.scene7.com/is/image/Crate/GthPWB2pcScLSfRCh2SSOSSS21_3D_1x1/raw/210430094846/gather-petite-wood-base-2-piece-sectional.jpg
284964,Pacific 2-Piece Chaise Sectional Sofa with Wood Legs,$3298,https://www.crateandbarrel.com//pacific-2-piece-chaise-sectional-sofa-with-wood-legs/s284964,https://cb.scene7.com/is/image/Crate/Pacific2BnRASfLAChsBCSOSSS21_3D_1x1/raw/230721150615/pacific-2-piece-chaise-sectional-with-wood-legs.jpg
122417,Axis Classic 2-Piece Sectional Sofa with Chaise,$3398,https://www.crateandbarrel.com//axis-classic-2-piece-sectional-sofa-with-chaise/s122417,https://cb.scene7.com/is/image/Crate/AxisCls2pLAptSfRChsDISOSSF23_3D/raw/231016114712/axis-classic-2-piece-sectional-with-chaise.jpg
564096,Barrett II Reversible Sectional Sofa,$2249,https://www.crateandbarrel.com//barrett-ii-reversible-sectional-sofa/s564096,https://cb.scene7.com/is/image/Crate/BarrettIILngrSecOCSOSSS22_3D/raw/230906160559/barrett-ii-reversible-sectional.jpg
124319,Rollins Ebony Leather Tufted Left-Arm Chaise Sectional Sofa,$7798,https://www.crateandbarrel.com//rollins-ebony-leather-tufted-left-arm-chaise-sectional-sofa/s124319,https://cb.scene7.com/is/image/Crate/RollinsSecLAChsEbonySOSSF22/raw/220422154654/rollins-ebony-leather-tufted-left-arm-chaise-sectional-sofa.jpg
504617,Bucktown Modular 7-Piece Wedge Sectional Sofa,$9193,https://www.crateandbarrel.com//bucktown-modular-7-piece-wedge-sectional-sofa/s504617,https://cb.scene7.com/is/image/Crate/Bucktown7LCTrALCGWOtt3QSSF23_3D/raw/230502124524/bucktown-modular-7-piece-wedge-sectional-sofa.jpg
504705,Bucktown Modular 7-Piece Sectional Sofa with Ottoman,$8593,https://www.crateandbarrel.com//bucktown-modular-7-piece-sectional-sofa-with-ottoman/s504705,https://cb.scene7.com/is/image/Crate/Bucktown7LCTrALCCrOtt3QSSF23_3D/raw/230502124529/bucktown-modular-7-piece-sectional-sofa-with-ottoman.jpg
504595,Bucktown Modular 5-Piece Wedge Sectional Sofa,$7195,https://www.crateandbarrel.com//bucktown-modular-5-piece-wedge-sectional-sofa/s504595,https://cb.scene7.com/is/image/Crate/Bucktown5LCALCGWgALCRC3QSSF23_3D/raw/230502124524/bucktown-modular-5-piece-wedge-sectional-sofa.jpg
