Product Id,Product Name,Price,Link of the product,Scraped Image Link
563755,Barrett II Queen Sleeper Sofa,$1899,https://www.crateandbarrel.com//barrett-ii-queen-sleeper-sofa/s563755,https://cb.scene7.com/is/image/Crate/BarrettQnSlprGASOSSF20_3D/raw/210520163802/barrett-track-arm-sofa.jpg
563930,Willow II Slipcovered Bench Queen Sleeper Sofa,$2599,https://www.crateandbarrel.com//willow-ii-slipcovered-bench-queen-sleeper-sofa/s563930,https://cb.scene7.com/is/image/Crate/WillowIISlpBenchSofaSOSSS22_3D/raw/230328144333/willow-ii-slipcovered-sofa.jpg
579496,Bowen Tufted Queen Sleeper Sofa,$4699,https://www.crateandbarrel.com//bowen-tufted-queen-sleeper-sofa/s579496,https://cb.scene7.com/is/image/Crate/BowenQnSleeperSOSSF20_3D_1x1/raw/201026131546/bowen-queen-sleeper-sofa.jpg
579436,Bedford Queen Trundle Sleeper Sofa,$3899,https://www.crateandbarrel.com//bedford-queen-trundle-sleeper-sofa/s579436,https://cb.scene7.com/is/image/Crate/BedfordLwLgQnTrnSlprSOSSF20_3D_1x1/raw/200715154649/bedford-low-leg-queen-trundle-sleeper.jpg
579264,Fuller Slope Arm Queen Sleeper Sofa,$4699,https://www.crateandbarrel.com//fuller-slope-arm-queen-sleeper-sofa/s579264,https://cb.scene7.com/is/image/Crate/FullerQnSleeperSOSSF20_3D_1x1/raw/210520153027/fuller-queen-sleeper-sofa.jpg
564226,Barrett II Queen Sleeper Sofa,$1999,https://www.crateandbarrel.com//barrett-ii-queen-sleeper-sofa/s564226,https://cb.scene7.com/is/image/Crate/BarrettII2StQnSlprOCSOSSS22_3D/raw/230906160557/barrett-ii-queen-sleeper.jpg
579451,Bedford Daybed with Trundle,$3399,https://www.crateandbarrel.com//bedford-daybed-with-trundle/s579451,https://cb.scene7.com/is/image/Crate/BedfordSlprDybdTrndlSOSSF20_3D_1x1/raw/200715154653/bedford-sleeper-daybed-trundle.jpg
475263,Lounge Leather Queen Trundle Sleeper,$4299,https://www.crateandbarrel.com//lounge-leather-queen-trundle-sleeper/s475263,https://cb.scene7.com/is/image/Crate/LoungeIILthQnTrundSlpIronSOSSS23/raw/230217111706/lounge-leather-queen-trundle-sleeper.jpg
529630,"Barrett II 90"" Leather Queen Sleeper Sofa",$4899,https://www.crateandbarrel.com//barrett-ii-90-leather-queen-sleeper-sofa/s529630,https://cb.scene7.com/is/image/Crate/BarrettIILthQSlpSf90AleSOSSF23/raw/230615145451/barrett-ii-90-leather-queen-sleeper-sofa.jpg
141619,Barrett II Twin Sleeper,$1449,https://www.crateandbarrel.com//barrett-ii-twin-sleeper/s141619,https://cb.scene7.com/is/image/Crate/BarrettIITWSlprOCSOSSS22_3D/raw/230906160612/barrett-ii-twin-sleeper.jpg
565351,Barrett II Twin Sleeper,$1299,"https://www.crateandbarrel.com//barrett-ii-twin-sleeper/s565351?oc=1,1439",https://cb.scene7.com/is/image/Crate/item_885_163_1439_0/raw/231203112638/item_885_163_1439_0.jpg
563947,Willow II Slipcovered Bench Twin Sleeper,$1999,https://www.crateandbarrel.com//willow-ii-slipcovered-bench-twin-sleeper/s563947,https://cb.scene7.com/is/image/Crate/WillowIISlpChairHalfSOSSS22_3D/raw/230328144339/willow-ii-slipcovered-chair-and-a-half.jpg
579507,Bowen Tufted Full Sleeper Sofa,$4499,https://www.crateandbarrel.com//bowen-tufted-full-sleeper-sofa/s579507,https://cb.scene7.com/is/image/Crate/BowenFLSleeperSOSSF20_3D_1x1/raw/201026131548/bowen-full-sleeper-sofa.jpg
627172,Fuller 2-Piece Sleeper Sectional with Storage Chaise,$7998,https://www.crateandbarrel.com//fuller-2-piece-sleeper-sectional-with-storage-chaise/s627172,https://cb.scene7.com/is/image/Crate/Fuller2LAChsSgRALvQSLSOSSF20_3D_1x1/raw/210520153035/fuller-2-piece-sleeper-sectional.jpg
627266,Bedford 2-Piece Sleeper Sectional Sofa,$6898,https://www.crateandbarrel.com//bedford-2-piece-sleeper-sectional-sofa/s627266,https://cb.scene7.com/is/image/Crate/Bedford2LASChRATrSlpSOSSF20_3D_1x1/raw/200715154653/bedford-2-piece-sectional.jpg
565387,Barrett II 3-Seat Queen Sleeper,$1999,"https://www.crateandbarrel.com//barrett-ii-3-seat-queen-sleeper/s565387?oc=1,1440",https://cb.scene7.com/is/image/Crate/item_885_126_1440_0/raw/231203145030/item_885_126_1440_0.jpg
373650,Peyton Twin Sleeper,$1699,https://www.crateandbarrel.com//peyton-twin-sleeper/s373650,https://cb.scene7.com/is/image/Crate/PeytonTwSlprMCshSOSSF20_3D_1x1/raw/210519122029/peyton-twin-sleeper.jpg
682669,Notch Queen Sleeper Sofa,$2099,https://www.crateandbarrel.com//notch-queen-sleeper-sofa/s682669,https://cb.scene7.com/is/image/Crate/Notch78SofaStmSOSSF20_3D_1x1/raw/200729162250/notch-78-sofa.jpg
373650,Peyton Twin Sleeper,$1699,https://www.crateandbarrel.com//peyton-twin-sleeper/s373650,https://cb.scene7.com/is/image/Crate/PeytonTwSlprMCshSOSSF20_3D_1x1/raw/210519122029/peyton-twin-sleeper.jpg
