Product Id,Product Name,Price,Link of the product,Scraped Image Link
0,Lounge Sofa,$174900,https://www.crateandbarrel.com//lounge-sofa/f59041,https://cb.scene7.com/is/image/Crate/LoungeSofa83inTSSOSSS23_3D/raw/221014104340/lounge-sofa-83.jpg
126231,Axis 2-Seat Sofa,$2199,https://www.crateandbarrel.com//axis-2-seat-sofa/s126231,https://cb.scene7.com/is/image/Crate/AxisIISofaDISOSSS21_3D/raw/210105090529/axis-ii-2-seat-sofa.jpg
461125,"Oceanside 90"" Leather Deep-Seat Sofa",$3999,https://www.crateandbarrel.com//oceanside-90-leather-deep-seat-sofa/s461125,https://cb.scene7.com/is/image/Crate/OceansideDLth90SofaStnSOSSF23/raw/230620152341/oceanside-90-leather-deep-seat-sofa.jpg
0,Barrett II Track Arm Sofa,$139900,https://www.crateandbarrel.com//barrett-ii-track-arm-sofa/f1010112,https://cb.scene7.com/is/image/Crate/Barrett3StQnSlprGASOSSF20_3D/raw/210520163754/barrett-3-seat-track-arm-sofa.jpg
504663,Bucktown Modular 3-Piece Sectional Sofa,$3997,https://www.crateandbarrel.com//bucktown-modular-3-piece-sectional-sofa/s504663,https://cb.scene7.com/is/image/Crate/Bucktown3LChrALCRChrSOSSF23_3D/raw/230502124521/bucktown-modular-3-piece-sectional-sofa.jpg
409265,"Wythe 92"" Leather Sofa",$4199,https://www.crateandbarrel.com//wythe-92-leather-sofa/s409265,https://cb.scene7.com/is/image/Crate/WytheLth92inSofaHnySOSSF23/raw/230612125516/wythe-92-leather-sofa.jpg
378692,Wells Leather Sofa,$3099,https://www.crateandbarrel.com//wells-leather-sofa/s378692,https://cb.scene7.com/is/image/Crate/WellsLthrSofa84inCynSOSSF20_1x1/raw/200720144725/wells-leather-tuxedo-sofa.jpg
403417,Rivera Sofa,$2199,https://www.crateandbarrel.com//rivera-sofa/s403417,https://cb.scene7.com/is/image/Crate/RiveraSofaChestnutSOSSF23/raw/230615145438/rivera-sofa.jpg
273938,"Aris 88"" Deep Track-Arm Sofa",$1799,https://www.crateandbarrel.com//aris-88-deep-track-arm-sofa/s273938,https://cb.scene7.com/is/image/Crate/ArisD88inSofaSOSSF21_3D/raw/210930160422/aris-88-deep-track-arm-sofa.jpg
357525,Hugger Curved Boucle Sofa by Leanne Ford,$2299,https://www.crateandbarrel.com//hugger-curved-boucle-sofa-by-leanne-ford/s357525,https://cb.scene7.com/is/image/Crate/HuggerSofaSOSSF21/raw/210913140542/hugger-curved-boucle-sofa.jpg
0,Willow II Slipcovered Bench Sofa,$214900,https://www.crateandbarrel.com//willow-ii-slipcovered-bench-sofa/f1010683,https://cb.scene7.com/is/image/Crate/WillowIISlpBenchSofaSOSSS22_3D/raw/230328144333/willow-ii-slipcovered-sofa.jpg
121828,"Axis Classic Sofa 88""",$2149,https://www.crateandbarrel.com//axis-classic-sofa-88/s121828,https://cb.scene7.com/is/image/Crate/AxisClsSofa2StDISOSSF23_3D/raw/231025114302/axis-classic-sofa-88.jpg
407937,Wells Renew Vegan Leather Sofa,$2999,https://www.crateandbarrel.com//wells-renew-vegan-leather-sofa/s407937,https://cb.scene7.com/is/image/Crate/WellsVLSofaCmlSOSSF23_3D/raw/230817095414/wells-vegan-silicone-leather-sofa.jpg
333997,"Oceanside 90"" Wide-Arm Deep-Seat Sofa",$2099,https://www.crateandbarrel.com//oceanside-90-wide-arm-deep-seat-sofa/s333997,https://cb.scene7.com/is/image/Crate/OceansideD90inSofaSOSSF21_3D/raw/211020112335/oceanside-90-wide-arm-deep-seat-sofa.jpg
182058,Leisure Power Recliner Sofa,$3200,https://www.crateandbarrel.com//leisure-power-recliner-sofa/s182058,https://cb.scene7.com/is/image/Crate/LeisurePower2pcSofaSOSSS21/raw/201222174629/leisure-power-recliner-sofa.jpg
560756,Peyton Sofa,$2099,https://www.crateandbarrel.com//peyton-sofa/s560756,https://cb.scene7.com/is/image/Crate/PeytonSofaShellySOSSS22_3D/raw/220106122417/peyton-sofa.jpg
502701,"Oceanside 90"" Leather Sofa",$3999,https://www.crateandbarrel.com//oceanside-90-leather-sofa/s502701,https://cb.scene7.com/is/image/Crate/OceansideDLth90SofaStnSOSSF23/raw/230620152341/oceanside-90-leather-deep-seat-sofa.jpg
0,Gather Sofa,$189900,https://www.crateandbarrel.com//gather-sofa/s536904,https://cb.scene7.com/is/image/Crate/Gather88inSofaICSOSSF20_3D_1x1/raw/200820160640/gather-sofa.jpg
271677,Barrett II Leather 3 Seat Sofa,$4199,https://www.crateandbarrel.com//barrett-ii-leather-3-seat-sofa/s271677,https://cb.scene7.com/is/image/Crate/BarrettIILthr3StSofaSOSSS23/raw/230224145549/barrett-ii-leather-3-seat-sofa.jpg
319987,"Tidal 93"" Upholstered Sofa",$1999,https://www.crateandbarrel.com//tidal-93-upholstered-sofa/s319987,https://cb.scene7.com/is/image/Crate/Tidal90inSofaOsShSOSSS23_3D/raw/230130154400/tidal-93-upholstered-sofa.jpg
131635,Tillery 2-Piece Antigo Natural Fabric Power Recliner Sofa,$2815.18,https://www.crateandbarrel.com//tillery-2-piece-antigo-natural-fabric-power-recliner-sofa/s131635,https://cb.scene7.com/is/image/Crate/Tillery2pANFbPwRclnrSfSOSSF23/raw/231106120324/tillery-2-piece-antigo-natural-fabric-power-recliner-sofa.jpg
414471,Petrie Velvet Mid-Century Sofa,$2999,https://www.crateandbarrel.com//petrie-velvet-mid-century-sofa/s414471,https://cb.scene7.com/is/image/Crate/PetrieSofaCOSOSSS23_3D/raw/230130095245/petrie-velvet-mid-century-sofa.jpg
0,Axis Sofa,$184900,https://www.crateandbarrel.com//axis-sofa/f1002944,https://cb.scene7.com/is/image/Crate/AxisBenchSofaIPSOSSS21_3D/raw/210211095248/axis-bench-sofa.jpg
335467,"Lounge Deep Sofa 93""",$2499,https://www.crateandbarrel.com//lounge-deep-sofa-93/s335467,https://cb.scene7.com/is/image/Crate/LoungeDpSofa93inANSOSSS23_3D/raw/221107112743/lounge-deep-sofa-93.jpg
237082,Wells Sofa with Natural Leg Finish,$1699,https://www.crateandbarrel.com//wells-sofa-with-natural-leg-finish/s237082,https://cb.scene7.com/is/image/Crate/WellsFSofaNGSOSSF21_3D/raw/210629164622/wells-sofa-with-natural-leg-finish.jpg
